uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"0c0beb7f-25c9-4694-80a4-c6382973927f","HARV_006.tickPlot.tck","HARV_006","2017-08-01T12:29Z","2018-01-20T17:00Z","HARV_006.20170801","HARV_006.20170801.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",3,"OK","90% ethanol","USNMENT01358844","HARV_006.20170801.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"c7f01068-84f3-4c5f-8279-f4612b63fd80","HARV_026.tickPlot.tck","HARV_026","2017-08-01T13:35Z","2018-01-20T17:00Z","HARV_026.20170801","HARV_026.20170801.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",2,"OK","90% ethanol","USNMENT01358845","HARV_026.20170801.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"61ffe60e-ebc5-452e-b506-9872082af6e0","HARV_022.tickPlot.tck","HARV_022","2017-08-21T12:12Z","2018-01-20T17:00Z","HARV_022.20170821","HARV_022.20170821.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",3,"OK","90% ethanol","USNMENT01358839","HARV_022.20170821.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"28246839-8998-4ac1-a4ba-bd057636f478","HARV_006.tickPlot.tck","HARV_006","2017-08-21T13:29Z","2017-10-21T16:00Z","HARV_006.20170821","HARV_006.20170821.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,"Larva",39,"OK","90% ethanol","USNMENT01358842","HARV_006.20170821.L","Guy Hobbs","Georgia Southern University",
"e2594f34-b8f7-4796-b2b1-0ede701d5e84","HARV_026.tickPlot.tck","HARV_026","2017-08-21T14:32Z","2017-10-21T16:00Z","HARV_026.20170821","HARV_026.20170821.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,"Larva",29,"OK","90% ethanol","USNMENT01358843","HARV_026.20170821.L","Guy Hobbs","Georgia Southern University",
"8f5045e9-f417-49bb-a00f-fc22d66e663c","HARV_001.tickPlot.tck","HARV_001","2017-08-21T15:29Z","2017-10-21T16:00Z","HARV_001.20170821","HARV_001.20170821.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,"Larva",13,"OK","90% ethanol","USNMENT01358840","HARV_001.20170821.L","Guy Hobbs","Georgia Southern University",
"45e72024-cd0c-4fef-94c0-804b7d953f1e","HARV_001.tickPlot.tck","HARV_001","2017-08-21T15:29Z","2018-01-20T17:00Z","HARV_001.20170821","HARV_001.20170821.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",2,"OK","90% ethanol","USNMENT01358841","HARV_001.20170821.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"4ec09b9f-7021-4fb8-9593-1f394a00b4a4","HARV_004.tickPlot.tck","HARV_004","2017-08-21T16:31Z","2017-10-21T16:00Z","HARV_004.20170821","HARV_004.20170821.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,"Larva",6,"OK","90% ethanol","USNMENT01358836","HARV_004.20170821.L","Guy Hobbs","Georgia Southern University",
"3ee9ec6a-d921-4018-a628-f069f76d159e","HARV_020.tickPlot.tck","HARV_020","2017-08-21T17:30Z","2018-01-20T17:00Z","HARV_020.20170821","HARV_020.20170821.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",1,"OK","90% ethanol","USNMENT01358838","HARV_020.20170821.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"9a2185a4-fdc2-4a83-9d14-c2635ca54e56","HARV_020.tickPlot.tck","HARV_020","2017-08-21T17:30Z","2017-10-21T16:00Z","HARV_020.20170821","HARV_020.20170821.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,"Larva",1,"OK","90% ethanol","USNMENT01358837","HARV_020.20170821.L","Guy Hobbs","Georgia Southern University",
