uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"005ed1a2-1644-4058-988b-20de0a73debf","HARV_026.tickPlot.tck","HARV_026","2017-05-08T17:48Z","2018-01-03T17:00Z","HARV_026.20170508","HARV_026.20170508.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT01358074","HARV_026.20170508.DERVAR.M","Lorenza Beati","Georgia Southern University","TO PAULA"
"08b8f74b-1dc9-4234-8427-892726771a6b","HARV_026.tickPlot.tck","HARV_026","2017-05-08T17:48Z","2018-01-03T17:00Z","HARV_026.20170508","HARV_026.20170508.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Female",1,"OK","90% ethanol","USNMENT01358073","HARV_026.20170508.DERVAR.F","Lorenza Beati","Georgia Southern University","TO PAULA"
"e21f1904-1c5b-42f2-a490-1b248804ae7c","HARV_026.tickPlot.tck","HARV_026","2017-05-08T17:48Z","2018-01-03T17:00Z","HARV_026.20170508","HARV_026.20170508.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",1,"OK","90% ethanol","USNMENT01358075","HARV_026.20170508.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"934d81e6-a05f-46f2-88f7-f81d58797698","HARV_020.tickPlot.tck","HARV_020","2017-05-09T13:29Z","2018-01-03T17:00Z","HARV_020.20170509","HARV_020.20170509.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Female",1,"OK","90% ethanol","USNMENT01358076","HARV_020.20170509.DERVAR.F","Lorenza Beati","Georgia Southern University","TO PAULA"
"6b428167-3717-44d7-9133-8e333df834d6","HARV_020.tickPlot.tck","HARV_020","2017-05-09T13:29Z","2018-01-03T17:00Z","HARV_020.20170509","HARV_020.20170509.IXOSCA.M","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT01358078","HARV_020.20170509.IXOSCA.M","Lorenza Beati","Georgia Southern University",
"d94b2e4f-f5d1-43e8-bbe9-0a75e6159927","HARV_020.tickPlot.tck","HARV_020","2017-05-09T13:29Z","2018-01-03T17:00Z","HARV_020.20170509","HARV_020.20170509.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",2,"OK","90% ethanol","USNMENT01358077","HARV_020.20170509.DERVAR.M","Lorenza Beati","Georgia Southern University","TO PAULA"
"307a05aa-1b44-4d04-8838-2d6e9821f6dc","HARV_004.tickPlot.tck","HARV_004","2017-05-09T14:58Z","2018-01-14T17:00Z","HARV_004.20170509","HARV_004.20170509.IXOSCA.F","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Female",1,"OK","90% ethanol","USNMENT01358245","HARV_004.20170509.IXOSCA.F","Lorenza Beati","Georgia Southern University",
"2e1997c7-1c32-4c68-8685-76cc85008e61","HARV_004.tickPlot.tck","HARV_004","2017-05-09T14:58Z","2018-01-14T17:00Z","HARV_004.20170509","HARV_004.20170509.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",1,"OK","90% ethanol","USNMENT01358246","HARV_004.20170509.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"64e50c50-3888-4e9d-b523-7e577f1c42d5","HARV_004.tickPlot.tck","HARV_004","2017-05-09T14:58Z","2018-01-14T17:00Z","HARV_004.20170509","HARV_004.20170509.IXOSCA.M","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT01358214","HARV_004.20170509.IXOSCA.M","Lorenza Beati","Georgia Southern University",
"65c79a63-938f-4f68-a2b9-8ae522b2ec92","HARV_004.tickPlot.tck","HARV_004","2017-05-09T14:58Z","2018-01-14T17:00Z","HARV_004.20170509","HARV_004.20170509.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Female",1,"OK","90% ethanol","USNMENT01358212","HARV_004.20170509.DERVAR.F","Lorenza Beati","Georgia Southern University","TO PAULA"
