uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"35460580-cdce-4769-9b1c-14d795a76290","HARV_020.tickPlot.tck","HARV_020","2017-06-02T13:32Z","2018-01-14T17:00Z","HARV_020.20170602","HARV_020.20170602.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Female",2,"OK","90% ethanol","USNMENT01358254","HARV_020.20170602.DERVAR.F","Lorenza Beati","Georgia Southern University","TO PAULA"
"f16fd0f4-6e6a-4f49-a92e-073dc0d5dac4","HARV_022.tickPlot.tck","HARV_022","2017-06-02T14:40Z","2018-01-14T17:00Z","HARV_022.20170602","HARV_022.20170602.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT01358255","HARV_022.20170602.DERVAR.M","Lorenza Beati","Georgia Southern University","TO PAULA"
"5ad6172d-6895-4e5e-9968-032e8b262bbb","HARV_022.tickPlot.tck","HARV_022","2017-06-02T14:40Z","2017-07-14T16:00Z","HARV_022.20170602","HARV_022.20170602.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,"Larva",1,"OK","90% ethanol","USNMENT01358256","HARV_022.20170602.L","Cody Norton","Georgia Southern University",
"e28fd1fe-e7f7-4812-a561-01d28fb1694a","HARV_026.tickPlot.tck","HARV_026","2017-06-20T17:16Z","2018-01-27T17:00Z","HARV_026.20170620","HARV_026.20170620.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT01358873","HARV_026.20170620.DERVAR.M","Lorenza Beati","Georgia Southern University",
"f9600b63-e68d-4a38-bd34-dd7afa2b347b","HARV_022.tickPlot.tck","HARV_022","2017-06-22T14:18Z","2018-01-27T17:00Z","HARV_022.20170622","HARV_022.20170622.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",6,"OK","90% ethanol","USNMENT01358872","HARV_022.20170622.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"fb7cc1c2-fa8f-4eb2-a413-cae87b7e6904","HARV_022.tickPlot.tck","HARV_022","2017-06-22T14:18Z","2018-01-27T17:00Z","HARV_022.20170622","HARV_022.20170622.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT01358871","HARV_022.20170622.DERVAR.M","Lorenza Beati","Georgia Southern University","TO PAULA"
"20b714f2-2a01-41c9-b6c3-4a8314fdfcfd","HARV_001.tickPlot.tck","HARV_001","2017-06-22T15:53Z","2018-01-27T17:00Z","HARV_001.20170622","HARV_001.20170622.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT01358864","HARV_001.20170622.DERVAR.M","Lorenza Beati","Georgia Southern University","TO PAULA"
"0f1d2cf8-d30e-4f2d-aeae-99225c8d9445","HARV_001.tickPlot.tck","HARV_001","2017-06-22T15:53Z","2018-01-27T17:00Z","HARV_001.20170622","HARV_001.20170622.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",12,"OK","90% ethanol","USNMENT01358865","HARV_001.20170622.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"b8e48b97-92fa-493f-8abc-dc342151a1f1","HARV_004.tickPlot.tck","HARV_004","2017-06-22T17:32Z","2018-01-27T17:00Z","HARV_004.20170622","HARV_004.20170622.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT01358870","HARV_004.20170622.DERVAR.M","Lorenza Beati","Georgia Southern University","TO PAULA"
"a19fda5e-afa6-4196-a3af-474144a45887","HARV_004.tickPlot.tck","HARV_004","2017-06-22T17:32Z","2018-01-27T17:00Z","HARV_004.20170622","HARV_004.20170622.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",6,"OK","90% ethanol","USNMENT01358869","HARV_004.20170622.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"d7c548eb-7e94-481f-b4c5-a8c9f15b680c","HARV_020.tickPlot.tck","HARV_020","2017-06-22T18:41Z","2018-01-22T17:00Z","HARV_020.20170622","HARV_020.20170622.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Female",2,"OK","90% ethanol","USNMENT01358868","HARV_020.20170622.DERVAR.F","Lorenza Beati","Georgia Southern University","TO PAULA"
"1d7a4586-e63e-4607-afba-5c877ea2e3c4","HARV_020.tickPlot.tck","HARV_020","2017-06-22T18:41Z","2018-01-27T17:00Z","HARV_020.20170622","HARV_020.20170622.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",2,"OK","90% ethanol","USNMENT01358866","HARV_020.20170622.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"a6f9713e-19f6-4918-abae-7a113cb9dda4","HARV_020.tickPlot.tck","HARV_020","2017-06-22T18:41Z","2018-01-27T17:00Z","HARV_020.20170622","HARV_020.20170622.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",2,"OK","90% ethanol","USNMENT01358867","HARV_020.20170622.DERVAR.M","Lorenza Beati","Georgia Southern University","TO PAULA"
