startDateTime,endDateTime,RHMean,RHMinimum,RHMaximum,RHVariance,RHNumPts,RHExpUncert,RHStdErMean,RHFinalQF,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF,dewTempMean,dewTempMinimum,dewTempMaximum,dewTempVariance,dewTempNumPts,dewTempExpUncert,dewTempStdErMean,dewTempFinalQF
"2017-07-01T00:00:00Z","2017-07-01T00:30:00Z",97.10,96.76,97.58,0.03,900,2.20,0.01,0,20.597,20.430,20.800,0.013,900,0.190,0.004,0,20.075,19.920,20.340,0.015,900,0.163,0.004,0
"2017-07-01T00:30:00Z","2017-07-01T01:00:00Z",97.58,96.84,98.05,0.08,900,2.20,0.01,0,20.394,20.260,20.720,0.010,900,0.190,0.003,0,19.951,19.850,20.320,0.007,900,0.163,0.003,0
"2017-07-01T01:00:00Z","2017-07-01T01:30:00Z",97.35,96.59,98.34,0.21,900,2.20,0.02,0,20.352,20.080,20.640,0.017,900,0.190,0.004,0,19.872,19.720,20.220,0.013,900,0.163,0.004,0
"2017-07-01T01:30:00Z","2017-07-01T02:00:00Z",96.31,93.47,98.54,2.67,900,2.20,0.05,0,19.653,19.210,20.460,0.117,900,0.191,0.011,0,19.001,18.180,20.180,0.360,900,0.172,0.020,0
"2017-07-01T02:00:00Z","2017-07-01T02:30:00Z",96.16,94.19,97.40,0.68,900,2.20,0.03,0,19.260,19.070,19.440,0.010,900,0.190,0.003,0,18.584,18.170,18.970,0.049,900,0.167,0.007,0
"2017-07-01T02:30:00Z","2017-07-01T03:00:00Z",97.10,96.47,98.01,0.07,900,2.20,0.01,0,19.706,19.440,20.130,0.018,900,0.190,0.005,0,19.186,18.960,19.740,0.020,900,0.163,0.005,0
"2017-07-01T03:00:00Z","2017-07-01T03:30:00Z",97.93,97.17,98.45,0.13,900,2.20,0.01,0,19.806,19.750,19.930,0.002,900,0.190,0.001,0,19.422,19.310,19.540,0.002,900,0.162,0.002,0
"2017-07-01T03:30:00Z","2017-07-01T04:00:00Z",98.51,98.33,98.73,0.01,900,2.20,0.00,0,19.818,19.760,20.020,0.003,900,0.190,0.002,0,19.529,19.470,19.760,0.003,900,0.161,0.002,0
"2017-07-01T04:00:00Z","2017-07-01T04:30:00Z",98.50,97.78,98.88,0.08,900,2.20,0.01,0,19.874,19.750,20.270,0.015,900,0.190,0.004,0,19.583,19.480,20.040,0.014,900,0.162,0.004,0
"2017-07-01T04:30:00Z","2017-07-01T05:00:00Z",97.52,96.42,98.50,0.17,900,2.20,0.01,0,20.011,19.840,20.300,0.015,900,0.190,0.004,0,19.559,19.440,19.960,0.016,900,0.163,0.004,0
"2017-07-01T05:00:00Z","2017-07-01T05:30:00Z",96.38,94.91,97.69,0.43,900,2.20,0.02,0,20.090,19.800,20.440,0.026,900,0.190,0.005,0,19.448,19.230,19.940,0.028,900,0.166,0.006,0
