startDateTime,endDateTime,RHMean,RHMinimum,RHMaximum,RHVariance,RHNumPts,RHExpUncert,RHStdErMean,RHFinalQF,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF,dewTempMean,dewTempMinimum,dewTempMaximum,dewTempVariance,dewTempNumPts,dewTempExpUncert,dewTempStdErMean,dewTempFinalQF
"2017-05-01T00:00:00Z","2017-05-01T00:30:00Z",83.67,81.15,86.65,2.17,900,2.20,0.05,0,8.923,8.820,9.030,0.003,900,0.190,0.002,0,6.260,5.900,6.760,0.053,900,0.186,0.008,0
"2017-05-01T00:30:00Z","2017-05-01T01:00:00Z",82.38,79.73,86.27,2.49,900,2.20,0.05,0,8.714,8.470,8.870,0.012,900,0.190,0.004,0,5.831,5.280,6.630,0.123,900,0.189,0.012,0
"2017-05-01T01:00:00Z","2017-05-01T01:30:00Z",79.06,76.66,81.94,1.82,900,2.20,0.04,0,8.367,8.220,8.510,0.007,900,0.190,0.003,0,4.901,4.360,5.510,0.093,900,0.195,0.010,0
"2017-05-01T01:30:00Z","2017-05-01T02:00:00Z",76.64,74.84,80.08,1.57,900,2.20,0.04,0,8.053,7.860,8.220,0.011,900,0.190,0.003,0,4.151,3.700,4.890,0.087,900,0.199,0.010,0
"2017-05-01T02:00:00Z","2017-05-01T02:30:00Z",75.87,74.40,77.28,0.37,900,2.20,0.02,0,7.700,7.510,7.870,0.011,900,0.190,0.003,0,3.665,3.320,4.010,0.021,900,0.199,0.005,0
"2017-05-01T02:30:00Z","2017-05-01T03:00:00Z",75.79,74.15,77.80,0.71,900,2.20,0.03,0,7.430,7.350,7.530,0.002,900,0.190,0.001,0,3.389,3.080,3.700,0.023,900,0.199,0.005,0
"2017-05-01T03:00:00Z","2017-05-01T03:30:00Z",75.01,73.99,76.13,0.24,900,2.20,0.02,0,7.357,7.270,7.440,0.002,900,0.190,0.002,0,3.172,2.960,3.440,0.009,900,0.199,0.003,0
"2017-05-01T03:30:00Z","2017-05-01T04:00:00Z",75.60,74.30,77.09,0.67,900,2.20,0.03,0,7.226,7.120,7.300,0.003,900,0.190,0.002,0,3.156,2.960,3.370,0.012,900,0.199,0.004,0
"2017-05-01T04:00:00Z","2017-05-01T04:30:00Z",79.26,76.25,81.00,1.58,900,2.20,0.04,0,6.784,6.580,7.120,0.026,900,0.190,0.005,0,3.396,3.130,3.550,0.008,900,0.195,0.003,0
"2017-05-01T04:30:00Z","2017-05-01T05:00:00Z",80.78,80.03,81.68,0.15,900,2.20,0.01,0,6.482,6.420,6.580,0.002,900,0.190,0.001,0,3.373,3.240,3.490,0.003,900,0.187,0.002,0
"2017-05-01T05:00:00Z","2017-05-01T05:30:00Z",77.44,74.71,81.57,3.72,900,2.20,0.06,0,6.532,6.490,6.570,0.000,900,0.190,0.001,0,2.821,2.310,3.530,0.118,900,0.199,0.011,0
"2017-05-01T05:30:00Z","2017-05-01T06:00:00Z",75.85,74.51,77.00,0.43,900,2.20,0.02,0,6.294,6.050,6.520,0.024,900,0.190,0.005,0,2.301,2.140,2.500,0.009,900,0.198,0.003,0
"2017-05-01T06:00:00Z","2017-05-01T06:30:00Z",77.10,75.89,78.49,0.55,900,2.20,0.02,0,5.925,5.810,6.060,0.006,900,0.190,0.003,0,2.173,2.060,2.320,0.005,900,0.195,0.002,0
"2017-05-01T06:30:00Z","2017-05-01T07:00:00Z",77.32,75.57,79.16,1.41,900,2.20,0.04,0,5.814,5.760,5.870,0.001,900,0.190,0.001,0,2.105,1.750,2.430,0.049,900,0.196,0.007,0
"2017-05-01T07:00:00Z","2017-05-01T07:30:00Z",74.93,74.21,76.79,0.30,900,2.20,0.02,0,5.632,5.510,5.760,0.007,900,0.190,0.003,0,1.490,1.280,1.960,0.026,900,0.199,0.005,0
"2017-05-01T07:30:00Z","2017-05-01T08:00:00Z",76.05,75.04,77.05,0.18,900,2.20,0.01,0,5.448,5.400,5.510,0.001,900,0.190,0.001,0,1.519,1.390,1.710,0.005,900,0.197,0.002,0
"2017-05-01T08:00:00Z","2017-05-01T08:30:00Z",77.67,76.28,79.35,0.58,900,2.20,0.03,0,5.207,4.990,5.400,0.016,900,0.190,0.004,0,1.579,1.490,1.680,0.002,900,0.194,0.001,0
"2017-05-01T08:30:00Z","2017-05-01T09:00:00Z",81.51,79.35,83.11,1.68,900,2.20,0.04,0,4.822,4.710,4.990,0.010,900,0.190,0.003,0,1.877,1.650,2.060,0.016,900,0.188,0.004,0
"2017-05-01T09:00:00Z","2017-05-01T09:30:00Z",85.00,82.68,87.11,1.80,900,2.20,0.04,0,4.642,4.520,4.770,0.005,900,0.190,0.002,0,2.288,2.020,2.510,0.024,900,0.182,0.005,0
"2017-05-01T09:30:00Z","2017-05-01T10:00:00Z",89.09,87.12,90.94,1.32,900,2.20,0.04,0,4.446,4.370,4.520,0.002,900,0.190,0.001,0,2.757,2.510,2.990,0.020,900,0.175,0.005,0
"2017-05-01T10:00:00Z","2017-05-01T10:30:00Z",93.77,90.94,96.42,3.75,900,2.20,0.06,0,4.238,4.090,4.390,0.011,900,0.190,0.004,0,3.273,2.990,3.580,0.036,900,0.170,0.006,0
"2017-05-01T10:30:00Z","2017-05-01T11:00:00Z",97.01,96.42,97.53,0.10,900,2.20,0.01,0,4.260,4.140,4.350,0.003,900,0.190,0.002,0,3.779,3.580,3.940,0.009,900,0.163,0.003,0
"2017-05-01T11:00:00Z","2017-05-01T11:30:00Z",97.79,97.53,98.02,0.02,900,2.20,0.00,0,4.470,4.350,4.570,0.003,900,0.190,0.002,0,4.102,3.940,4.230,0.006,900,0.161,0.003,0
"2017-05-01T11:30:00Z","2017-05-01T12:00:00Z",98.17,98.02,98.29,0.00,900,2.20,0.00,0,4.771,4.560,5.030,0.010,900,0.190,0.003,0,4.458,4.230,4.740,0.011,900,0.161,0.004,0
"2017-05-01T12:00:00Z","2017-05-01T12:30:00Z",98.33,98.18,98.50,0.01,900,2.20,0.00,0,5.031,4.910,5.160,0.004,900,0.190,0.002,0,4.740,4.600,4.890,0.005,900,0.161,0.002,0
"2017-05-01T12:30:00Z","2017-05-01T13:00:00Z",98.58,98.49,98.66,0.00,900,2.20,0.00,0,5.470,5.160,5.820,0.039,900,0.190,0.007,0,5.215,4.890,5.580,0.041,900,0.161,0.007,0
"2017-05-01T13:00:00Z","2017-05-01T13:30:00Z",98.59,98.52,98.69,0.00,900,2.20,0.00,0,5.876,5.680,6.200,0.019,900,0.190,0.005,0,5.623,5.420,5.960,0.020,900,0.160,0.005,0
