startDateTime,endDateTime,RHMean,RHMinimum,RHMaximum,RHVariance,RHNumPts,RHExpUncert,RHStdErMean,RHFinalQF,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF,dewTempMean,dewTempMinimum,dewTempMaximum,dewTempVariance,dewTempNumPts,dewTempExpUncert,dewTempStdErMean,dewTempFinalQF
"2017-08-01T00:00:00Z","2017-08-01T00:30:00Z",58.85,55.77,61.27,1.55,900,2.20,0.04,0,24.877,24.237,25.655,0.131,900,0.192,0.012,0,16.226,16.036,16.548,0.013,900,0.259,0.004,0
"2017-08-01T00:30:00Z","2017-08-01T01:00:00Z",62.80,58.46,65.29,2.67,900,2.20,0.05,0,24.011,23.504,24.958,0.125,900,0.191,0.012,0,16.432,16.188,16.650,0.011,900,0.248,0.004,0
"2017-08-01T01:00:00Z","2017-08-01T01:30:00Z",63.74,61.02,65.59,1.45,900,2.20,0.04,0,23.718,23.276,24.348,0.091,900,0.191,0.010,0,16.390,16.020,16.590,0.013,900,0.239,0.004,0
"2017-08-01T01:30:00Z","2017-08-01T02:00:00Z",59.22,55.66,64.32,3.12,900,2.20,0.06,0,23.942,23.377,24.702,0.106,900,0.191,0.011,0,15.446,14.937,16.305,0.088,900,0.260,0.010,0
"2017-08-01T02:00:00Z","2017-08-01T02:30:00Z",56.98,54.35,59.17,1.83,900,2.20,0.05,0,24.021,23.508,24.804,0.126,900,0.191,0.012,0,14.921,14.617,15.242,0.015,900,0.265,0.004,0
"2017-08-01T02:30:00Z","2017-08-01T03:00:00Z",61.34,56.78,64.35,3.38,900,2.20,0.06,0,22.819,22.232,24.091,0.223,900,0.193,0.016,0,14.937,14.657,15.278,0.017,900,0.255,0.004,0
"2017-08-01T03:00:00Z","2017-08-01T03:30:00Z",63.81,60.15,65.96,2.43,900,2.20,0.05,0,22.309,22.016,22.851,0.048,900,0.191,0.007,0,15.074,14.433,15.386,0.054,900,0.242,0.008,0
"2017-08-01T03:30:00Z","2017-08-01T04:00:00Z",64.28,56.31,73.26,37.11,900,2.24,0.20,0,22.130,20.801,23.581,0.767,900,0.199,0.029,0,14.952,14.139,15.913,0.430,900,0.260,0.022,0
"2017-08-01T04:00:00Z","2017-08-01T04:30:00Z",73.62,70.69,74.99,0.81,900,2.20,0.03,0,20.884,20.597,21.453,0.038,900,0.190,0.007,0,15.949,15.856,16.059,0.001,900,0.210,0.001,0
"2017-08-01T04:30:00Z","2017-08-01T05:00:00Z",74.09,71.15,75.64,1.22,900,2.20,0.04,0,20.665,20.336,21.253,0.054,900,0.191,0.008,0,15.836,15.717,16.015,0.004,900,0.209,0.002,0
"2017-08-01T05:00:00Z","2017-08-01T05:30:00Z",72.60,68.42,74.86,1.88,900,2.20,0.05,0,20.788,20.361,21.518,0.083,900,0.191,0.010,0,15.637,15.410,15.825,0.003,900,0.216,0.002,0
"2017-08-01T05:30:00Z","2017-08-01T06:00:00Z",70.33,67.54,72.39,1.74,900,2.20,0.04,0,21.107,20.720,21.723,0.086,900,0.191,0.010,0,15.445,15.351,15.609,0.002,900,0.218,0.002,0
"2017-08-01T06:00:00Z","2017-08-01T06:30:00Z",71.61,67.87,74.36,2.12,900,2.20,0.05,0,20.784,20.283,21.498,0.082,900,0.191,0.010,0,15.418,15.266,15.634,0.004,900,0.217,0.002,0
"2017-08-01T06:30:00Z","2017-08-01T07:00:00Z",75.24,71.00,80.34,5.76,900,2.21,0.08,0,20.158,19.156,20.954,0.229,900,0.193,0.016,0,15.580,15.444,15.758,0.003,900,0.209,0.002,0
"2017-08-01T07:00:00Z","2017-08-01T07:30:00Z",77.66,71.82,82.41,7.88,900,2.21,0.09,0,19.756,18.854,21.053,0.319,900,0.194,0.019,0,15.684,15.446,16.002,0.018,900,0.207,0.005,0
"2017-08-01T07:30:00Z","2017-08-01T08:00:00Z",73.42,69.43,78.24,4.36,900,2.20,0.07,0,20.522,19.668,21.305,0.167,900,0.192,0.014,0,15.551,15.398,15.801,0.006,900,0.213,0.003,0
"2017-08-01T08:00:00Z","2017-08-01T08:30:00Z",76.97,71.51,79.85,4.40,900,2.20,0.07,0,19.800,19.277,20.853,0.174,900,0.192,0.014,0,15.593,15.454,15.834,0.006,900,0.208,0.003,0
"2017-08-01T08:30:00Z","2017-08-01T09:00:00Z",77.12,69.77,82.53,12.44,900,2.21,0.12,0,19.778,18.529,21.216,0.571,900,0.197,0.025,0,15.589,15.402,15.840,0.008,900,0.212,0.003,0
"2017-08-01T09:00:00Z","2017-08-01T09:30:00Z",85.74,80.33,89.80,7.65,900,2.21,0.09,0,18.001,17.309,18.846,0.200,900,0.192,0.015,0,15.520,15.326,15.698,0.006,900,0.188,0.003,0
"2017-08-01T09:30:00Z","2017-08-01T10:00:00Z",77.71,73.28,81.64,6.69,900,2.21,0.09,0,19.003,18.300,19.831,0.170,900,0.192,0.014,0,14.965,14.602,15.395,0.036,900,0.204,0.006,0
"2017-08-01T10:00:00Z","2017-08-01T10:30:00Z",72.78,70.20,74.54,1.11,900,2.20,0.04,0,20.004,19.686,20.509,0.043,900,0.191,0.007,0,14.923,14.808,15.102,0.003,900,0.211,0.002,0
"2017-08-01T10:30:00Z","2017-08-01T11:00:00Z",71.20,70.17,73.01,0.50,900,2.20,0.02,0,20.499,20.282,20.716,0.013,900,0.190,0.004,0,15.057,14.853,15.256,0.007,900,0.211,0.003,0
"2017-08-01T11:00:00Z","2017-08-01T11:30:00Z",72.90,69.82,75.18,0.79,900,2.20,0.03,0,20.604,20.215,21.150,0.080,900,0.191,0.009,0,15.525,15.137,16.242,0.065,900,0.213,0.008,0
"2017-08-01T11:30:00Z","2017-08-01T12:00:00Z",71.28,70.40,72.65,0.22,900,2.20,0.02,0,21.129,20.867,21.317,0.009,900,0.190,0.003,0,15.679,15.455,16.054,0.015,900,0.210,0.004,0
"2017-08-01T12:00:00Z","2017-08-01T12:30:00Z",71.67,70.01,73.53,0.44,900,2.20,0.02,0,21.387,21.222,21.768,0.023,900,0.190,0.005,0,16.011,15.703,16.761,0.036,900,0.212,0.006,0
"2017-08-01T12:30:00Z","2017-08-01T13:00:00Z",70.43,68.62,73.26,0.84,900,2.20,0.03,0,21.815,21.706,22.106,0.007,900,0.190,0.003,0,16.148,15.805,16.714,0.031,900,0.215,0.006,0
"2017-08-01T13:00:00Z","2017-08-01T13:30:00Z",68.65,63.88,73.14,4.06,900,2.20,0.07,0,22.696,21.989,24.002,0.356,900,0.194,0.020,0,16.581,16.032,17.748,0.107,900,0.230,0.011,0
"2017-08-01T13:30:00Z","2017-08-01T14:00:00Z",67.29,63.91,70.64,2.85,900,2.20,0.06,0,23.289,22.828,24.572,0.139,900,0.192,0.012,0,16.834,15.954,18.117,0.204,900,0.231,0.015,0
"2017-08-01T14:00:00Z","2017-08-01T14:30:00Z",65.30,59.85,73.12,9.91,900,2.21,0.10,0,23.804,22.679,24.714,0.244,900,0.193,0.016,0,16.838,15.118,18.241,0.412,900,0.246,0.021,0
